Index,Quantity,Comment,Designator,Manufacturer Part,Manufacturer Name,Digi-Key Part Number,Supplier,Description
1,1,MF-R110,F1,MF-R110,Bourns Inc.,MF-R110-ND,Digi-Key,PTC RESET FUSE 30V 1.1A RADIAL
2,2,47u,"C1,C3",EEU-FC1H470H,Panasonic Electronic Components,P19659CT-ND,Digi-Key,CAP ALUM 47UF 20% 50V RADIAL TH
3,1,R-78E5.0-1.0,U1,R-78E5.0-1.0,Recom Power,945-2201-ND,Digi-Key,DC DC CONVERTER 5V 5W
4,1,STPS5L40RL,D1,STPS5L40RL,STMicroelectronics,497-6588-1-ND,Digi-Key,DIODE SCHOTTKY 40V 5A DO201AD
5,1,PC817X2NSZ9F,U2,PC817X2NSZ9F,SHARP/Socle Technology,PC817X2NSZ9F-ND,Digi-Key,OPTOISOLATOR 5KV 1CH TRANS 4-DIP
6,3,.1u,"C2,C4,C5",C320C104K5R5TA,KEMET,399-4264-ND,Digi-Key,CAP CER 0.1UF 50V X7R RADIAL
7,1,1.5KE30A,D2,1.5KE30A,Littelfuse Inc.,1.5KE30ALFCT-ND,Digi-Key,TVS DIODE 25.6VWM 41.4VC DO201
8,2,12VInput,"J1,J2",282836-2,TE Connectivity AMP Connectors,A98076-ND,Digi-Key,TERM BLK 2POS SIDE ENTRY 5MM PCB
9,1,LED-TH-3mm_B,LED1,WP710A10QBD/D,Kingbright,754-WP710A10QBD/D-ND,Digi-Key,LED BLUE DIFFUSED T-1 T/H
10,1,8.2k,R1,RNMF14FTC8K20,Stackpole Electronics Inc,S8.2KCACT-ND,Digi-Key,RES 8.2K OHM 1% 1/4W AXIAL
11,1,10k,R2,CF14JT10K0,Stackpole Electronics Inc,CF14JT10K0CT-ND,Digi-Key,RES 10K OHM 5% 1/4W AXIAL
12,1,2.2k,R3,CF14JT2K20,Stackpole Electronics Inc,CF14JT2K20CT-ND,Digi-Key,RES 2.2K OHM 5% 1/4W AXIAL
13,1,JP1,JP1,61300311121,Würth Elektronik,732-5316-ND,Digi-Key,CONN HEADER VERT 3POS 2.54MM
14,1,JUMP,JUMP,QPC02SXGN-RC,Sullins Connector Solutions,S9337-ND,Digi-Key,"CONN JUMPER SHORTING .100"" GOLD"
